id,text,creation_date,post_id,user_id,user_display_name,score
103656246,"@Ivan Currently, adding `<activity [..] android:configChanges=""orientation|screenSize"">` to AndroidManifest.xml works",2019-11-03T06:22:51.883Z,29166336,8244977,,0
91303942,@Gökhan Barış Aker I have a similar issue here: https://stackoverflow.com/questions/52176812/android-restore-recyclerview-item-positions-after-app-re-opens.  I would appreciate any insights you have on how to solve.,2018-09-05T03:57:35.703Z,29166336,3796660,,0
65670715,this should definitely be the accepted answer. Haven't had any problem with that and it saves the exact scroll position and state.,2016-08-26T10:24:57.893Z,29166336,1019562,,0
79364016,so anyone know how to implement this for listview?,2017-09-13T14:50:05.697Z,29166336,3962551,,0
95253601,What if you're not using a Fragment?,2019-01-16T09:30:46.793Z,29166336,4261600,,0
50584512,linearLayoutManager.onInstanceState() always returns null --> check the source code. Unfortunately not working.,2015-07-08T15:19:59.107Z,29166336,3734116,,0
57747111,"Does not work with stackfFromEnd. Duh, can something work as intended on Android some day?",2016-01-26T08:50:49.830Z,29166336,794755,,0
53137851,"Just a warning - I got NPE in certain cases, so do some null checks when using it - otherwise great. Simple.",2015-09-18T06:17:29.263Z,29166336,383414,,0
112650646,as recyclerview is still in alpha it is the best answer.,2020-09-02T11:39:04.547Z,29166336,2326640,,0
50610065,"@Andev, that is true for abstract class LayoutManager. All implementing subclasses (Linear, Grid, Staggered) returns a Parcelable. Here is my reference for LinearLayoutManager, http://grepcode.com/file/repository.grepcode.com/java/ext/com.google.android/android/5.1.0_r1/android/support/v7/widget/LinearLayoutManager.java#214",2015-07-09T07:28:26.377Z,29166336,892500,,0
93373260,"@Ivan, in order for this to work in your **Fragment** ensure your saving the new layout state after the data is added to your adapter and not within `onViewStateRestored`.  This worked for me. **ie:** ` adapter.submitList(homeContentList)
                    if (!homeContentList.isEmpty()) {
                        contentRecyclerView.scrollToPosition(0)
                        emptyContent.visibility = GONE
                        contentRecyclerView.layoutManager?.onRestoreInstanceState(this.savedRecyclerLayoutState)
                    }`",2018-11-10T22:14:06.680Z,29166336,2253682,,0
56202966,"Frankly I never used this functionality, resurrect after crash, etc., and rather focused on fixing the issues that caused crash )",2015-12-11T17:49:21.223Z,16388608,1123662,,0
95895148,Doesn't send to work with singleInstance launchMode activities,2019-02-06T05:54:22.093Z,16388608,1219213,,0
69262209,Same functionality also provides `IntentCompat.makeRestartActivityTask` from support library.,2016-12-07T21:09:03.903Z,16388608,539284,,0
95228209,"Adding only those two flags leaves activity stack track behind (starts on top of the previous one), then added  Intent.FLAG_ACTIVITY_CLEAR_TOP which simply restarts the application and then exits totally. I haven't added any flag to activities explicitly tho. What could be the problem?",2019-01-15T14:23:03.357Z,16388608,5636313,,0
38449614,Worked perfectly. Thanks. Strangely didn't give error with minSDK=9.,2014-07-16T09:36:14.380Z,16388608,336557,,0
19619946,"Ok, this solved the problem. With your help and some extra googleing, i got it :D. Going to put my final code, so every1 can see the answer implemented.",2013-01-04T18:14:46.557Z,14161920,1943607,,0
57230271,Same for all... That's why I would prefer iterating over all existing views...,2016-01-12T11:25:58.553Z,34742272,1439522,,0
57230139,"I'm reading from the preferences, so I want to do this ONCE and not always... I could do it with an internal boolean in the adapter as well, didn't think about that actually...",2016-01-12T11:22:09.553Z,34742272,1439522,,0
57230077,Do you have any parameters to know if label is visible or not in the onBindViewHolder? You should check for this parameter. Update the parameter in the menu and set adapter.notifyDataSetChanged,2016-01-12T11:20:30.417Z,34742272,4070971,,0
57230344,"You can pass this value to the adpater constructor, and create a method in adpater to change this value",2016-01-12T11:27:37.073Z,34742272,4070971,,0
57230745,It's not a good idea to change Views under recycler view manually change models and notify changes instead.,2016-01-12T11:39:18.927Z,34742272,527808,,0
57230173,Is this parameter is the same for all the item? or can be different depending on item?,2016-01-12T11:23:04.720Z,34742272,4070971,,0
57230402,That's what I do. But in `onBindView` I have to ALWAYS set the visibility whereas I would prefer to do that only once when I create a view and only when the variable changed...,2016-01-12T11:29:00.963Z,34742272,1439522,,0
90079108,this works but how to reset the icon back to the original one when another item is clicked,2018-07-27T10:42:42.383Z,41826560,5658251,,0
115358645,"This will actually work, the only problem would be if  you want the icon to change when it's selected and change back when it's not, since the item passed by the switch is just the tapped one you will have no reference to the others, so you'll not be able to restore the state if you deselect it for example. 
Check Saiful Islam Sajib's answer down below for the whole drill on how to implement a selector drawable, that would be the best and cleanest approach in my opinion.",2020-12-11T13:07:59.473Z,41826560,10576021,,0
63059700,"However, the solution of @Amro elaswar below did work for me",2016-06-13T18:34:01.903Z,33834496,5059031,,0
97292303,"this should be the accepted answer, if you don't want to build custom drawable.",2019-03-21T13:15:08.743Z,33834496,3763032,,0
121728325,This will ignore the first message until the user grants permission (or many messages will be ignored until permission grant),2021-08-22T03:59:59.530Z,45175296,7429464,,0
24130860,Thanks! Gotta wait 3 more mins before I can accept this answer. Thanks for the explanation,2013-05-25T17:33:06.103Z,16752128,586599,,0
64911846,I think this is no longer available,2016-08-04T14:33:11.677Z,8955392,4695531,,0
97883917,Why is `PutExtraConstants` an interface?,2019-04-09T13:11:34.347Z,52276480,1972372,,0
97883980,"@Big_Chair Because `PutExtraConstants` class contains only constants (`public`, `static`, `final`). So it is better to use interface for Constants.",2019-04-09T13:13:47.533Z,52276480,6891563,,0
38030798,"Is your ""Another fragment"". Is the fragment you want to receive the String value.",2014-07-03T13:53:11.263Z,24555520,3616148,,0
38033690,"please, send-me a comment here before post the question",2014-07-03T14:55:26.220Z,24555520,3616148,,0
38031578,"Is the id declared in your activity xml file.  

android:id=""@+id/container""",2014-07-03T14:10:48.900Z,24555520,3616148,,0
38033550,try to put this in webview: myWebView.setWebViewClient(new WebViewClient());,2014-07-03T14:52:24.027Z,24555520,3616148,,0
38032626,I have accepted the answer..I cant post another question in 90 minutes.I need this done urgent. Can you please help me here.. I promise I will post another question and let you know and accept your answer if my problem is  solved.,2014-07-03T14:33:17.267Z,24555520,3740518,,0
38030751,what do you mean by YourNewFragment ?,2014-07-03T13:51:42.937Z,24555520,3740518,,0
38031910,ok..It works..It redirects to the first Fragment.But it is showing Dialog to choose a broswer to view the website rather than showing the website on my webview..Can you help me on this.I will accept the answer.:),2014-07-03T14:17:55.787Z,24555520,3740518,,0
38033627,Great ..:) thank you..It works.. I will post any another question and let you know..,2014-07-03T14:54:12.187Z,24555520,3740518,,0
38036371,"http://stackoverflow.com/questions/24558423/string-url-sent-from-another-fragment-is-not-showing-in-webview-in-current-fra

this is the question.",2014-07-03T15:59:32.370Z,24555520,3740518,,0
38032935,say here in comments what is the problem,2014-07-03T14:39:51.893Z,24555520,3616148,,0
38036211,Now probably you can post you new question. Please do it and let me do the answer.,2014-07-03T15:55:49.940Z,24555520,3616148,,0
38032220,please close this question and open another one with the new question. I try to help you in the new question.,2014-07-03T14:24:01.803Z,24555520,3616148,,0
55154951,"I answered on github, so let's move this conversation out of here https://github.com/shamanland/nested-fragment-issue/issues/2#issuecomment-156402156",2015-11-13T11:25:36.910Z,24303360,1891118,,0
55160919,"Thanks! If it is not a recommended solution, I suggest edit the answer accordingly so that one need not to spend time trying this to know it has compilation erros.",2015-11-13T14:19:12.817Z,24303360,3209739,,0
55154511,"I have same issue as I used a ViewPager in parent fragment which holds other fragments as tabs. Tried using the nested-fragment-issue but ended up with compilation erros. Can you suggest me the solution ?
Raised an issues too here https://github.com/shamanland/nested-fragment-issue/issues/2",2015-11-13T11:12:24.533Z,24303360,3209739,,0
111378094,"Adding android:fillViewport=""true"" on the ScrollView worked.

Android Studio 4.0.1",2020-07-19T17:02:11.577Z,37545728,3158802,,0
121965407,"It is still working, thank you! :) But why is it working like that despite parent ScrollView has match_parent and child ConstraintLayout also has match_parent attributes? Shouln't it be logical for ScrollView to fill view port by default when match_parent is set?",2021-09-01T08:17:41.327Z,37545728,8090432,,0
62772732,"Years later and this is still so relevant. Although it doesn't really answer the question, it solves a problem",2016-06-05T20:15:42.523Z,15856640,4721369,,0
53649712,"Thanks, helped me too.",2015-10-02T15:40:12.567Z,15856640,358244,,0
35682673,"It my case it worked with setOffscreenPageLimit() - although the fragments were destroyed, the view state was saved and restored.",2014-04-26T07:18:59.900Z,15856640,1807368,,0
91193804,Vector based drawables greatly simplifies matters (answer below).,2018-08-31T18:53:02.510Z,8716289,1105214,,0
20633867,look in to the same problem on this thread http://stackoverflow.com/questions/14727426/andriod-how-to-create-the-stack-kind-of-image-backgrounds any suggestion would be great!,2013-02-07T06:32:58.427Z,8716289,1709569,,0
49845485,https://developer.android.com/reference/android/support/v7/widget/CardView.html#attr_android.support.v7.cardview:cardUseCompatPadding,2015-06-17T22:14:01.577Z,27463169,308836,,0
113745129,"Hi @Empty2k12, can you elaborate on custom Transformation? I have a custom masking transformation but I am unable to center fit or correctly crop the image keeping the aspect ratio consistent.",2020-10-12T19:51:32.077Z,34022657,4843057,,0
31187701,"probably he meant ""detach""; a fragment can also be detached / reattached (additionally to add/remove, show/hide)",2013-12-27T14:45:50.023Z,13185025,1005652,,0
86199227,"What if I use replace() combined with addToStack(), is it the same to show() and hide() methods ?",2018-04-01T07:51:03.237Z,13185025,5218585,,0
93015527,@AllenVork i think it will still replace. you can use `Log.i` inside OnDestroy method and check the output.,2018-10-30T06:12:14.147Z,13185025,4767498,,0
37710653,"For some reason if i hide on fragment and add another after screen rotation (i do not want to use setRetainInstance(true)), the fragment i previously hid is now shown again under my top fragment, hence having both UIs overlap. Any idea how to counter this ?",2014-06-24T09:42:29.657Z,13185025,1041533,,0
63291254,"Yes @dmon you were right thanks, i was struggling due to lack of invalidateOptionsMenu(); my manu was not getting updated till i click on NavigationDrawer",2016-06-20T10:38:51.530Z,14169089,1791546,,0
19632345,Can you please tell Where do we call invalidateOptionsMenu() if I use Pratik's code?,2013-01-05T06:04:26.280Z,14169089,958263,,0
19632319,Thanks for the answer how can i re enable it again? what should be the code in configureSaveButton method.,2013-01-05T06:02:13.540Z,14169089,958263,,0
19632479,I just saved MenuItem in class variable and set the enable/disable accordingly. Thanks,2013-01-05T06:17:52.077Z,14169089,958263,,0
39519070,"Is it really recommended to disable action items instead of just hide them? as a user, I don't think i'd like to have action items just staying around that I can't click...",2014-08-17T08:37:52.807Z,14169089,878126,,0
19632352,In onTextChanged() just save if the value of s is empty somewhere and call invalidateOptionsMenu(). Then when inflating the menu check if the flag is true or false.,2013-01-05T06:04:59.790Z,14169089,642161,,0
24300378,"@Pratik - Thanks, your tip saved me a few lines of coding!",2013-05-31T05:39:17.170Z,14169089,953833,,0
