id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
5839249,,The Android Java Canvas (android.graphics.Canvas),,,0,,2011-04-30T03:19:49.193Z,,2012-01-24T19:17:07.120Z,2012-01-24T19:17:07.120Z,,154112,,154112,,4,0,,
53382152,,"A language feature and a library introduced in Kotlin 1.3 that is used to implement the ""green threads"" model. It allows writing non-blocking IO code in a natural way, without resorting to futures or callbacks.",,,0,,2018-11-19T20:27:35.167Z,,2018-12-07T19:45:22.300Z,2018-12-07T19:45:22.300Z,,1103872,,6235974,,4,0,,
9678906,,"Navigation refers to the process of navigating a network of resources, and the user interface that is used to do so.",,,0,,2012-03-13T05:39:20.573Z,,2012-05-07T02:00:05.773Z,2012-05-07T02:00:05.773Z,,1001985,,1001985,,4,0,,
9855340,,"WhatsApp Messenger is a proprietary, cross-platform instant messaging application for smartphones. In addition to basic messaging and video calling, WhatsApp Messenger users can send each other images, video and audio media messages.",,,0,,2012-03-24T20:32:22.343Z,,2016-07-30T06:46:31.713Z,2016-07-30T06:46:31.713Z,,3558145,,842935,,4,0,,
11568542,,questions about the android.widget.Button element. This element can be used on activities.,,,0,,2012-07-19T20:12:38.003Z,,2020-07-27T22:31:44.443Z,2020-07-27T22:31:44.443Z,,792066,,1470567,,4,0,,
26658818,,The movement or orientation of UI elements in a specific direction. This is limited to the user interface. Some example uses are player movements in games or principal element rotation/animation in UI. Use [directions] for maps navigation.,,,0,,2014-10-30T16:50:56.457Z,,2014-10-30T17:20:48.373Z,2014-10-30T17:20:48.373Z,,1816580,,1816580,,4,0,,
18942062,,FragmentTransaction is an API for performing a set of Fragment operations.,,,0,,2013-09-22T09:01:02.800Z,,2013-09-22T10:16:00.603Z,2013-09-22T10:16:00.603Z,,2151172,,2151172,,4,0,,
4933608,,"For questions regarding multi-threading, the ability of a computer or a program to perform work concurrently or asynchronously by utilizing multiple concurrent streams of execution (generally referred to as threads).",,,0,,2011-02-08T13:28:48.787Z,,2020-07-24T19:19:18.910Z,2020-07-24T19:19:18.910Z,,8866053,,366073,,4,0,,
8081263,,In touch based user interfaces a long-click (aka long-press and tap-and-hold) refers to pressing a control for a prolonged time in order to achieve additional functionality.,,,0,,2011-11-10T14:43:13.427Z,,2011-11-10T15:06:42.957Z,2011-11-10T15:06:42.957Z,,3848,,3848,,4,0,,
16592311,,Navigation Drawer in a mobile application is the side panel which slides out from the edge of the screen and displays the navigation menu of the application. Use this tag for programming questions related to navigation drawers only. General UX questions and other opinion based questions related to navigation drawers are not on topic for Stack Overflow.,,,0,,2013-05-16T16:01:52.300Z,,2019-07-13T12:29:19.970Z,2019-07-13T12:29:19.970Z,,4099593,,467900,,4,0,,
21252406,,"JSON stands for (Java Script Object Notation). It is a simple and light-weight data interchange format that can be easily read by humans and machines.Android includes the org.json library which allow working efficiently with JSON. 
 This provides easy parsing of JSON data and creating JSON strings",,,0,,2014-01-21T08:06:29.780Z,,2015-10-28T10:33:05.530Z,2015-10-28T10:33:05.530Z,,5366025,,5366025,,4,0,,
6164825,,GET is one of many request methods supported by the HTTP protocol. The GET request method is used when the client needs to get data from the server as part of the request-URI.,,,0,,2011-05-28T22:50:00.740Z,,2011-05-29T02:18:20.120Z,2011-05-29T02:18:20.120Z,,753930,,753930,,4,0,,
12352420,,The Android Support Library contains backported APIs from newer platforms and APIs that offer utility functionality.,,,0,,2012-09-10T13:09:00.143Z,,2012-10-11T16:53:19.297Z,2012-10-11T16:53:19.297Z,,1069068,,1069068,,4,0,,
6165075,,Fragments represent reusable behaviors or portions of the user interface in an Android app.,,,0,,2011-05-28T23:47:06.360Z,,2020-03-30T21:57:19.947Z,2020-03-30T21:57:19.947Z,,6138892,,750987,,4,0,,
7743286,,A MIME type after MIME (Multipurpose Internet Mail Extensions) is a two-part identifier for file formats on the Internet.,,,0,,2011-10-12T16:24:18.603Z,,2011-12-03T01:55:47.253Z,2011-12-03T01:55:47.253Z,,135441,,135441,,4,0,,
13673135,,"The contents of memory locations, at any given point in the program's execution, is called the program's state.",,,0,,2012-12-02T19:51:34.190Z,,2019-11-03T18:56:58.877Z,2019-11-03T18:56:58.877Z,,213269,,240564,,4,0,,
9717072,,"Refers to a graphical dialog used to display important information to the user. These dialogs appear above all other content, blocking application flow until user input is received.",,,0,,2012-03-15T09:34:37.733Z,,2012-06-24T20:57:57.490Z,2012-06-24T20:57:57.490Z,,483349,,483349,,4,0,,
28581824,,The RecyclerView widget is a more advanced and flexible version of ListView and GridView.,,,0,,2015-02-18T10:54:30.387Z,,2019-03-27T03:51:04.617Z,2019-03-27T03:51:04.617Z,,4402462,,1318946,,4,0,,
8597250,,"Questions pertaining to Event Bus systems (e.g. GWT, otto, etc.).",,,0,,2011-12-21T22:29:14.197Z,,2014-10-26T20:21:25.837Z,2014-10-26T20:21:25.837Z,,1269281,,291180,,4,0,,
