id,tag_name,count,excerpt_post_id,wiki_post_id
29269,launching-application,285,,
57489,android-lazyadapter,40,,
83193,mobfox,33,,
58479,searchbar,861,,
103614,android-inputtype,138,,
63406,network-state,26,,
56218,disk-imaging,8,,
27809,driving-directions,143,,
126593,google-maps-urls,63,,
38259,custom-activity,73,,
53110,autorotate,523,,
71640,android-textattributes,52,,
61633,android-lazyloading,43,,
116649,android-text-color,31,,
71620,network-connection,152,,
8098,hint,329,,
40022,outer-classes,43,,
5369,items,590,,
73323,compound-drawables,40,,
51595,divider,360,,
22280,multi-window,164,,
38731,drawer,680,,
117239,android-flavordimension,28,,
72713,listview-adapter,144,,
109824,android-textureview,93,,
114079,nestedscrollview,283,,
62822,android-scrollbar,89,,
121147,annotation-processor,99,,
3,javascript,2265517,3624960,3607052
86459,google-maps-android-api-2,3444,14247680,14247679
78113,android-listfragment,1176,12168448,12168447
6254,splash-screen,3208,7465472,7465471
367,syntax,19982,5643521,5643520
107714,android-toolbar,3049,26489601,26489600
633,vpn,3121,5488897,5488896
7098,adaptor,77,45143041,45143040
58098,event-bus,419,8597250,8597249
1817,frameworks,11270,5215746,5215745
24039,direction,646,26658818,26658817
60456,android-linearlayout,4830,11197698,11197697
12687,preview,1556,13426947,13426946
112325,android-snackbar,431,30619140,30619139
54875,right-to-left,1562,16934404,16934403
78331,cordova,61221,9732868,9732867
42420,android-ndk,13152,5306116,5306115
1873,styles,8470,7338756,7338755
17,java,1796560,3624966,3607018
1575,share,4332,13575175,13575174
108377,android-multidex,714,27096327,27096326
1597,location,9123,9801223,9801222
71173,swipe-gesture,504,22686216,22686215
19,xml,203943,3624968,3607588
28727,drawable,2934,8947464,8947463
135704,kotlin-coroutines,2590,53382152,53382151
38282,buildpath,400,5678088,5678087
34846,smooth-scrolling,911,20908041,20908040
65279,android-asynctask,14534,7258889,7258888
84996,otto,186,12965385,12965384
804,java-native-interface,9307,4985098,4985097
34883,nine-patch,703,10572042,10572041
7986,toolbar,3410,7574538,7574537
118155,android-vectordrawable,654,35694346,35694345
7496,google-api,17734,5827082,5827081
1137,binding,16346,6488332,6488331
61066,android-inflate,630,14651404,14651403
25351,horizontal-scrolling,1404,19920140,19920139
52921,android-gallery,1164,11141901,11141900
81880,android-permissions,3439,11415053,11415052
71028,android-orientation,853,14694157,14694156
53,eclipse,122634,3625229,3607482
9002,button,37428,6063373,6063372
10232,string-formatting,4018,9057806,9057805
90372,crashlytics,2730,15746574,15746573
64,windows,152004,3625230,3609881
5023,screen,4480,6448399,6448398
6052,add,3946,6744079,6744078
44720,clickable,666,13717520,13717519
28511,unity3d,59444,5155344,5155343
2881,javadoc,2792,5044240,5044239
111358,recyclerview-layout,439,29898769,29898768
2892,tracking,2208,12086545,12086544
68340,onitemclicklistener,976,12821009,12821008
119,git,136098,3625234,3607047
1090,stack,9940,5276946,5276945
39162,infowindow,1140,9681426,9681425
121,sqlite,89183,3625235,3607650
3280,routes,17165,6432532,6432531
45167,android-keypad,438,12344597,12344596
2218,facebook,85368,4166421,4166420
1258,camera,13862,7933974,7933973
31482,android-widget,5654,8118294,8118293
2109,transition,4061,15860247,15860246
91850,difference,1677,19610647,19610646
916,fonts,19547,5652503,5652502
44285,stroke,431,25076503,25076502
7346,popup,10339,6606359,6606358
16525,ui-thread,586,20893719,20893718
12625,adapter,4847,8450327,8450326
77154,android-tabs,1230,20254744,20254743
32307,gradle,44038,5090584,5090583
71479,jacoco,1663,7077144,7077143
14038,uninstallation,2100,23013145,23013144
13104,fingerprint,1277,16464153,16464152
104564,android-relativelayout,3828,23878937,23878936
742,mobile,28392,6006809,6006808
61722,android-imageview,4213,7258905,7258904
194,oracle,136476,3625242,3607031
55831,android-searchmanager,154,12344603,12344602
92613,rx-java,6737,16939803,16939802
58350,google-geocoder,968,12246044,12246043
16580,deprecated,2210,6095645,6095644
92772,textureview,293,17312797,17312796
1469,text,29273,5543709,5543708
42134,parcel,486,24130334,24130333
63184,android-library,1798,10099743,10099742
71248,android-alertdialog,5517,11740191,11740190
12689,back,1445,13754911,13754910
129373,android-studio-3.1,176,47003680,47003679
816,search,35230,5609248,5609247
56446,oncreate,975,13366560,13366559
4330,copy,10361,7934241,7934240
87137,android-broadcast,1222,14365985,14365984
18655,gravity,776,22107425,22107424
90787,pull-to-refresh,634,15950881,15950880
133092,androidx,2295,51481121,51481120
82173,android-query,97,14467105,14467104
41216,onscroll,309,26869281,26869280
61096,android-xml,2901,9240353,9240352
82831,bluestacks,220,11816738,11816737
342,queue,10137,5780003,5780002
126470,android-studio-3.0,1574,44108324,44108323
57879,android-wifi,2055,10562596,10562595
11987,frame,3513,15711012,15711011
1125,serialization,31127,4913700,4913699
1652,synchronization,9988,5314855,5314854
113488,android-apt,23,31537447,31537446
555,formatting,12347,8801319,8801318
85538,talkback,428,13388839,13388838
139,string,167788,4887591,4887590
6239,polygon,3913,8055079,8055078
24914,master-detail,1317,18434600,18434599
10787,application-state,97,39767848,39767847
1386,android,1346946,3625001,3607484
43006,autocompletetextview,1420,13344297,13344296
2678,memory-management,25992,6016041,6016040
794,networking,35688,5253674,5253673
2595,webkit,7228,5390122,5390121
4961,resolution,2285,6409514,6409513
63224,android-theme,2076,11916074,11916073
76691,actionbarsherlock,3298,8975916,8975915
78275,gitlab,12706,11847725,11847724
103578,android-layout-weight,438,23339822,23339821
2125,overriding,7639,9301038,9301037
849,groovy,27330,3625263,3613160
67733,android-3.0-honeycomb,889,6045744,6045743
46879,xml-parsing,13154,7000624,7000623
20050,progressdialog,1834,9036336,9036335
7571,launcher,842,11205680,11205679
105412,material-design,7974,24445745,24445744
17509,phone-number,1169,12066609,12066608
2833,drag-and-drop,12559,5652529,5652528
94217,android-navigation,982,17794097,17794096
47373,android-datepicker,756,11666482,11666481
6480,loading,3629,11601970,11601969
5558,tap,510,4998450,4998449
865,user-interface,52566,3625266,3623067
93354,android-styles,1871,17327154,17327153
64999,jenkins,45562,4949298,4949297
456,version-control,16427,3933491,3933490
81510,android-contextmenu,196,11208244,11208243
60280,android-tabhost,2140,5141556,5141555
111639,android-glide,2189,29989428,29989427
108113,gridlayoutmanager,391,33740852,33740850
8627,device,2929,12995637,12995636
2603,screenshot,4382,5924917,5924916
1456,byte,7108,8526390,8526389
59645,mime-types,3208,7743286,7743285
100133,android-json,582,21252406,21252405
1470,label,9170,4991287,4991286
61267,uppercase,1223,11049272,11049271
105984,android-uiautomator,856,24952632,24952631
72640,google-directions-api,486,40282937,40282936
7430,hashmap,13939,5312570,5312569
66,navigation,13106,9678906,9678905
6398,z-index,3815,5519932,5519931
77497,asp.net-web-api,35347,9332028,9332027
80572,android-loadermanager,398,10713404,10713403
87320,notifydatasetchanged,575,18515516,18515515
61449,android-menu,1249,9261373,9261371
6439,colors,19686,5471293,5471292
5187,class,72335,5212733,5212732
77105,android-pendingintent,1727,14694462,14694461
96286,android-filterable,132,41342014,41342013
94462,picasso,2509,18605374,18605373
874,lifecycle,1802,10428991,10428990
105961,greenrobot-eventbus,246,24927039,24927038
22031,libs,171,23042367,23042366
24170,dependency-management,2589,8912447,8912446
22612,imagebutton,1786,9438272,9438271
8760,gallery,3679,8906304,8906303
1931,unit-testing,76580,3625025,3608605
60442,android-lifecycle,2221,10973761,10973760
109168,dagger-2,3013,27763777,27763776
81389,android-sqlite,7964,11118145,11118144
93557,build.gradle,7632,17439811,17439810
5987,mask,2534,11787587,11787586
59809,android-listview,15559,6881604,6881603
50213,italic,136,9310788,9310787
43193,android-manifest,5554,7243845,7243844
41127,maven,80460,3625286,3607524
90288,networkonmainthread,198,15693382,15693381
72185,android-view,3862,10980167,10980166
22835,orientation,4070,8063048,8063047
5350,key,8521,9779016,9779015
2443,asynchronous,45720,3625032,3615096
13829,thread-safety,8750,7454536,7454535
119849,android-constraintlayout,2851,37325641,37325640
23954,broadcastreceiver,8194,8567625,8567624
63790,r.java-file,618,8054345,8054344
6877,selecteditem,978,19943754,19943753
9402,title,2395,11379530,11379529
361,methods,28179,6016074,6016073
110,ide,10384,4915532,4915531
26411,mediastore,1003,14634828,14634827
50574,apk,7063,6342476,6342475
369,macos,108736,4979532,4979531
75599,kotlin,62089,8847949,8847948
2054,integer,11485,5642573,5642572
2827,background,14102,7110733,7110732
80302,android-annotations,491,10585677,10585676
90,pdf,46838,4541006,4541005
59797,android-softkeyboard,2636,7503182,7503181
73152,android-dialog,1424,11501902,11501901
694,null,14839,5168462,5168461
78872,swagger,9694,9979727,9979726
14825,populate,1107,5506896,5506895
5614,modal-dialog,11171,9717072,9717071
13619,static-libraries,4246,9401424,9401423
8631,this,5890,6273360,6273359
58048,textwatcher,617,13220689,13220688
81504,android-fragmentactivity,2062,11224658,11224657
2556,functional-programming,17311,3625042,3607688
67023,android-fragments,44657,6165075,6165074
121759,android-tools-namespace,24,39291731,39291730
75483,android-tablelayout,1208,12823123,12823122
2579,web-services,60124,4949845,4949844
5052,menu,15277,6771798,6771797
96687,haxm,407,20471638,20471637
61210,android-adapter,3209,12345175,12345174
63302,typeface,389,9265239,9265238
58338,ios,660328,4536664,4536663
87388,android-fullscreen,309,23293784,23293783
3995,get,15914,6164825,6164824
10580,geolocation,11684,5122649,5122648
73780,dart,56496,7715673,7715672
41091,marker,1648,14516058,14516057
1110,expand,1216,23564122,23564121
97099,android-espresso,3117,19465819,19465818
17783,menuitem,2409,6989147,6989146
114841,android-intent-chooser,99,32932444,32932443
25404,radio-button,10057,5769821,5769820
46733,logcat,2187,6425693,6425692
119838,android-studio-2.2,482,37324125,37324124
87010,dagger,1333,13986142,13986141
15578,draw,3373,9044319,9044318
2,html,1088688,3673183,3673182
41486,google-maps-markers,4990,5674591,5674590
980,gmail,9806,5772896,5772895
26664,buttonclick,978,9068128,9068127
95291,android-actionbaractivity,236,24521057,24521056
47737,android-build,830,14192481,14192480
6323,arraylist,32594,6297187,6297186
7851,emulation,4206,25014884,25014883
759,sdk,13959,5506405,5506404
47735,soft-keyboard,276,26288229,26288228
74123,travis-ci,4114,7845989,7845988
81666,google-cloud-messaging,7263,11261541,11261540
84406,google-play-services,6926,12760422,12760421
71679,custom-adapter,988,27258726,27258725
60270,activity-lifecycle,677,23135591,23135590
